composition,slope,intercept
Ca55Mg10Cu35,1708.5817353332106,-23324.738940573436
Ni80P20,5213.84704519121,-57410.42873696425
Zr48Al7Cu42Ag3,3960.8714788732404,-47137.94014084508
Zr50Al10Cu40,3160.9062170705956,-37617.07060063218
Zr50Cu50,25493.201133143964,-303882.71954673604
