run,composition,volume,pressure,temperature,total_energy,start_temperature,end_temperature,self_diffusion,atoms
../../run_sets/linear_iterpolation/1/Zr48Al7Cu42Ag3/1400.0,Zr48Al7Cu42Ag3,1728.8399999999997,-8.493439999999998,1397.0593999999999,-652.2211274,1400.0,1400.0,8.845877648293403e-05,100
../../run_sets/linear_iterpolation/1/Zr50Al10Cu40/650.0,Zr50Al10Cu40,1706.130000000001,-9.211720000000001,647.1413999999999,-687.7536870199999,650.0,650.0,1.566153902670055e-05,100
../../run_sets/linear_iterpolation/1/Ni80P20/1700.0,Ni80P20,1109.7299999999998,-32.77512,1690.67252,-626.06803762,1700.0,1700.0,0.00024382364697877912,100
../../run_sets/linear_iterpolation/1/Zr50Al10Cu40/800.0,Zr50Al10Cu40,1713.9900000000005,-9.80814,799.39586,-682.39576968,800.0,800.0,4.675857278649148e-05,100
../../run_sets/linear_iterpolation/1/Zr50Al10Cu40/350.0,Zr50Al10Cu40,1690.4799999999998,-6.97062,348.47855999999996,-695.27032228,350.0,350.0,1.6160111356053682e-06,100
../../run_sets/linear_iterpolation/1/Zr50Al10Cu40/950.0,Zr50Al10Cu40,1721.869999999999,-10.2724,946.96444,-677.02531834,950.0,950.0,2.4639844082353718e-05,100
../../run_sets/linear_iterpolation/1/Ni80P20/1250.0,Ni80P20,1104.83,-62.578399999999995,1247.1413400000001,-639.33886116,1250.0,1250.0,7.005988141395735e-05,100
../../run_sets/linear_iterpolation/1/Zr50Al10Cu40/500.0,Zr50Al10Cu40,1698.2900000000004,-8.345139999999999,497.9094,-691.2719493799999,500.0,500.0,1.6856690855624274e-05,100
../../run_sets/linear_iterpolation/1/Zr48Al7Cu42Ag3/1550.0,Zr48Al7Cu42Ag3,1736.6500000000005,-8.8035,1545.4781400000002,-645.46884262,1550.0,1550.0,0.0001720174223893364,100
../../run_sets/linear_iterpolation/1/Ni80P20/1100.0,Ni80P20,1103.2000000000003,-66.58444,1095.19056,-642.82375602,1100.0,1100.0,9.356457096340726e-05,100
../../run_sets/linear_iterpolation/1/Zr48Al7Cu42Ag3/950.0,Zr48Al7Cu42Ag3,1705.5499999999995,-14.37314,948.63112,-666.95699074,950.0,950.0,1.1538015607372705e-05,100
../../run_sets/linear_iterpolation/1/Ni80P20/800.0,Ni80P20,1099.9500000000003,-88.6212,795.0948000000001,-654.67466342,800.0,800.0,7.57584647769285e-05,100
../../run_sets/linear_iterpolation/1/Zr50Cu50/200.0,Zr50Cu50,1647.1699999999998,-14.47412,199.85056,-698.3845746,200.0,200.0,2.7141879656176294e-06,100
../../run_sets/linear_iterpolation/1/Ni80P20/1550.0,Ni80P20,1108.0899999999997,-38.41354,1543.9121200000002,-632.1009593800001,1550.0,1550.0,0.0002003359461129711,100
../../run_sets/linear_iterpolation/1/Zr50Cu50/800.0,Zr50Cu50,1673.1399999999996,-14.40926,798.8743400000001,-680.67399462,800.0,800.0,1.5053399885183236e-05,100
../../run_sets/linear_iterpolation/1/Ni80P20/650.0,Ni80P20,1098.32,-100.5838,647.7508,-657.0333704999999,650.0,650.0,3.4501161818776735e-05,100
../../run_sets/linear_iterpolation/1/Zr48Al7Cu42Ag3/1250.0,Zr48Al7Cu42Ag3,1721.0499999999995,-10.796779999999998,1245.74172,-655.26197468,1250.0,1250.0,8.252258419338611e-05,100
../../run_sets/linear_iterpolation/1/Ni80P20/1400.0,Ni80P20,1106.4599999999998,-45.374379999999995,1392.80236,-634.9491247000001,1400.0,1400.0,0.0001329412005519682,100
../../run_sets/linear_iterpolation/1/Ni80P20/1850.0,Ni80P20,1111.36,-12.188379999999999,1840.80076,-624.3260305399999,1850.0,1850.0,0.0002666896743331148,100
../../run_sets/linear_iterpolation/1/Ni80P20/350.0,Ni80P20,1095.08,-112.95348,348.78264,-666.7119156200001,350.0,350.0,5.571615268852983e-06,100
../../run_sets/linear_iterpolation/1/Zr48Al7Cu42Ag3/650.0,Zr48Al7Cu42Ag3,1690.130000000001,-16.44938,649.5358999999999,-674.2546752,650.0,650.0,8.746195485087887e-06,100
../../run_sets/linear_iterpolation/1/Zr50Cu50/1850.0,Zr50Cu50,1719.2599999999995,-4.5761199999999995,1846.3016400000001,-650.1099960399999,1850.0,1850.0,0.0001745543089954317,100
../../run_sets/linear_iterpolation/1/Zr48Al7Cu42Ag3/1850.0,Zr48Al7Cu42Ag3,1752.3399999999997,-5.199539999999999,1841.6784599999999,-634.7576434200001,1850.0,1850.0,0.0002945871780203147,100
../../run_sets/linear_iterpolation/1/Zr48Al7Cu42Ag3/1100.0,Zr48Al7Cu42Ag3,1713.2900000000004,-13.195799999999998,1096.34832,-659.2183932399998,1100.0,1100.0,3.209692445437805e-05,100
