run,composition,volume,pressure,temperature,total_energy,start_temperature,end_temperature
../../run_sets/2/runs/holds/Ni80P20/200K/3ps/20,Ni80P20,8000.0,395.6916666666667,410.897,-331.6751952,200,200
../../run_sets/1/runs/holds/Zr48Cu42Al7Ag3/2000K/3ps/12,Zr48Al7Cu42Ag3,1728.0,15.316679999999998,1993.4562,-661.8260304996,2000,2000
../../run_sets/1/runs/holds/Ca55Mg10Cu35/2000K/3ps/14,Ca55Mg10Cu35,2744.0,19.89666666666667,1714.2814285714287,-126.92659357523809,2000,2000
../../run_sets/2/runs/holds/Zr50Cu50/200K/3ps/20,Zr50Cu50,8000.0,-31.9555,194.711,-329.32636913349995,200,200
../../run_sets/2/runs/holds/Ca55Mg10Cu35/200K/3ps/16,Ca55Mg10Cu35,4096.0,-20.511457085828344,197.92804391217567,-282.2777667889222,200,200
../../run_sets/1/runs/holds/Zr48Cu42Al7Ag3/2000K/3ps/14,Zr48Al7Cu42Ag3,2744.0,-60.18114,2001.36304,-611.07505080448,2000,2000
../../run_sets/2/runs/holds/Zr48Cu42Al7Ag3/200K/3ps/16,Zr48Al7Cu42Ag3,4096.0,-33.265339999999995,198.90054,-599.8081515649001,200,200
../../run_sets/2/runs/holds/Ca55Mg10Cu35/200K/3ps/10,Ca55Mg10Cu35,1000.0,3448.98,6590.6,961.47067919,200,200
../../run_sets/1/runs/holds/Ca55Mg10Cu35/2000K/3ps/16,Ca55Mg10Cu35,4096.0,-28.511740000000003,1998.8562000000002,-249.24120891594,2000,2000
../../run_sets/2/runs/holds/Zr50Cu40Al10/200K/3ps/10,Zr50Al10Cu40,1000.0,1878.759448275862,18.133103448275865,727.7643745897931,200,200
../../run_sets/2/runs/holds/Ca55Mg10Cu35/200K/3ps/18,Ca55Mg10Cu35,5832.0,-13.94032,199.1983,-267.1247406644,200,200
../../run_sets/2/runs/holds/Ca55Mg10Cu35/200K/3ps/14,Ca55Mg10Cu35,2744.0,-25.1659,199.17386,-303.83493289212,200,200
../../run_sets/1/runs/holds/Ca55Mg10Cu35/2000K/3ps/10,Ca55Mg10Cu35,1000.0,1313.2369739478959,1978.691082164329,7.423885526673347,2000,2000
../../run_sets/2/runs/holds/Zr50Cu50/200K/3ps/10,Zr50Cu50,1000.0,1657.8836072144288,199.2938677354709,-465.898504955992,200,200
../../run_sets/2/runs/holds/Zr50Cu50/200K/3ps/18,Zr50Cu50,5832.0,-36.61864583333334,142.09864583333334,-471.9227951930208,200,200
../../run_sets/2/runs/holds/Ni80P20/200K/3ps/10,Ni80P20,1000.0,95.62440881763527,199.9771142284569,-671.2042515308016,200,200
../../run_sets/1/runs/holds/Zr50Cu40Al10/2000K/3ps/16,Zr50Al10Cu40,4096.0,-30.25066,2001.2971599999998,-599.6249588898,2000,2000
../../run_sets/1/runs/holds/Zr50Cu50/2000K/3ps/20,Zr50Cu50,8000.0,-16.60875,2015.85,-246.07305671397728,2000,2000
../../run_sets/1/runs/holds/Zr50Cu40Al10/2000K/3ps/20,Zr50Al10Cu40,8000.0,-12.704049295774647,1990.7329929577463,-538.8299475244718,2000,2000
../../run_sets/2/runs/holds/Zr48Cu42Al7Ag3/200K/3ps/10,Zr48Al7Cu42Ag3,1000.0,1732.6524448897796,198.02883767535073,-431.3751550490581,200,200
../../run_sets/2/runs/holds/Zr48Cu42Al7Ag3/200K/3ps/12,Zr48Al7Cu42Ag3,1728.0,-43.068380000000005,199.08338,-684.8417462538999,200,200
