composition,dmax,tl,tg,species,log10(dmax^2),volume_runs,cooling_runs
Cu45Ag15Zr30Ti10,5.0,1121.0,687.0,"{'Ag15', 'Ti10', 'Cu45', 'Zr30'}",1.3979400086720377,no,no
Cu45Ni5Ag10Zr30Ti10,5.0,1160.0,710.0,"{'Ti10', 'Ag10', 'Ni5', 'Cu45', 'Zr30'}",1.3979400086720377,no,no
Fe61B15Mo7Zr8Co7Y2,5.0,1490.0,904.6,"{'Zr8', 'Fe61', 'Co7', 'Y2', 'Mo7', 'B15'}",1.3979400086720377,no,no
Cu47Zr43Al7Ag3,5.0,1156.0,716.0,"{'Cu47', 'Zr43', 'Al7', 'Ag3'}",1.3979400086720377,no,no
Pd79Cu4Ag2Si10P5,5.0,1005.0,613.0,"{'Pd79', 'Si10', 'Cu4', 'P5', 'Ag2'}",1.3979400086720377,no,no
Ti40Zr10Cu36Pd14,6.0,1191.0,669.0,"{'Zr10', 'Cu36', 'Ti40', 'Pd14'}",1.5563025007672873,no,no
Mg65Cu15Ag10Er10,6.0,733.0,427.0,"{'Mg65', 'Er10', 'Cu15', 'Ag10'}",1.5563025007672873,no,no
Ca47Mg19Zn7Cu27,6.0,676.0,393.0,"{'Cu27', 'Zn7', 'Ca47', 'Mg19'}",1.5563025007672873,no,no
Cu54Ag6Zr33Ti7,6.0,1135.0,709.0,"{'Ag6', 'Ti7', 'Zr33', 'Cu54'}",1.5563025007672873,no,no
Ca60Mg15Zn25,6.0,650.0,379.0,"{'Zn25', 'Ca60', 'Mg15'}",1.5563025007672873,no,no
Cu49.5Zr42.075Ti7.425Si,6.0,1141.0,683.0,"{'Zr42.075', 'Si1', 'Cu49.5', 'Ti7.425'}",1.5563025007672873,no,no
La62.5Al12.5Ag5Cu20,6.0,721.0,389.0,"{'Ag5', 'Cu20', 'La62.5', 'Al12.5'}",1.5563025007672873,no,no
Cu49.5Zr42.075Ti7.425Sn,6.0,1140.0,683.0,"{'Zr42.075', 'Sn1', 'Cu49.5', 'Ti7.425'}",1.5563025007672873,no,no
Fe58Cr5Mo14Er2C15B6,6.0,1416.0,793.0,"{'Er2', 'B6', 'Cr5', 'C15', 'Fe58', 'Mo14'}",1.5563025007672873,no,no
Ti40Zr10Cu38Pd12,6.0,1189.0,666.0,"{'Pd12', 'Zr10', 'Cu38', 'Ti40'}",1.5563025007672873,no,no
Ca58Mg18Cu24,6.0,667.0,388.0,"{'Ca58', 'Mg18', 'Cu24'}",1.5563025007672873,no,no
La62.5Al12.5Ag5Cu15Fe5,6.0,713.0,390.0,"{'Cu15', 'La62.5', 'Al12.5', 'Ag5', 'Fe5'}",1.5563025007672873,no,no
Ti50Zr15Cu9Ni8Be18,6.0,1009.0,622.0,"{'Zr15', 'Ni8', 'Be18', 'Cu9', 'Ti50'}",1.5563025007672873,no,no
Ti41.5Zr2.5Hf5Cu37.5Ni7.5SiSn5,6.0,1176.0,693.3,"{'Si1', 'Hf5', 'Ti41.5', 'Zr2.5', 'Cu37.5', 'Ni7.5', 'Sn5'}",1.5563025007672873,no,no
Ca47.5Mg22.5Cu30,6.0,673.0,399.0,"{'Cu30', 'Mg22.5', 'Ca47.5'}",1.5563025007672873,no,no
Cu45Zr45Ag10,6.0,1159.0,683.0,"{'Zr45', 'Cu45', 'Ag10'}",1.5563025007672873,no,no
Cu54Zr36Ag10,6.0,1146.0,719.0,"{'Ag10', 'Zr36', 'Cu54'}",1.5563025007672873,no,no
Cu47Zr43Al7Be3,6.0,1139.0,715.0,"{'Cu47', 'Zr43', 'Al7', 'Be3'}",1.5563025007672873,no,no
Cu46.4Ag11.6Zr35Ti7,6.0,1119.0,689.0,"{'Zr35', 'Cu46.4', 'Ag11.6', 'Ti7'}",1.5563025007672873,no,no
Fe69Mo3Y6B22,6.0,1488.0,908.0,"{'Y6', 'Fe69', 'Mo3', 'B22'}",1.5563025007672873,no,no
Ti55Zr10Cu9Ni8Be18,6.0,1013.0,629.0,"{'Zr10', 'Ni8', 'Be18', 'Cu9', 'Ti55'}",1.5563025007672873,no,no
Mg64.5Cu24.5Gd11,6.0,739.0,413.0,"{'Gd11', 'Mg64.5', 'Cu24.5'}",1.5563025007672873,no,no
Mg65.5Cu25.4Gd9,6.0,741.0,411.0,"{'Gd9', 'Cu25.4', 'Mg65.5'}",1.5563025007672873,no,no
Ca45Mg25Cu30,6.0,678.0,400.0,"{'Cu30', 'Mg25', 'Ca45'}",1.5563025007672873,no,no
Cu47Ti33Zr11SiNi6Sn2,6.0,1140.0,720.0,"{'Cu47', 'Si1', 'Ni6', 'Ti33', 'Sn2', 'Zr11'}",1.5563025007672873,no,no
Fe68Mo4Y6B22,6.5,1488.0,915.0,"{'Y6', 'Mo4', 'Fe68', 'B22'}",1.6258267132857112,no,no
Ca53Mg23Cu24,7.0,655.0,406.0,"{'Cu24', 'Mg23', 'Ca53'}",1.6901960800285136,no,no
La62.5Al12.5Ag5Cu17.5Fe2.5,7.0,711.0,391.0,"{'Cu17.5', 'La62.5', 'Al12.5', 'Ag5', 'Fe2.5'}",1.6901960800285136,no,no
Cu45Zr45Ag7Al3,7.0,1151.0,688.0,"{'Zr45', 'Al3', 'Cu45', 'Ag7'}",1.6901960800285136,no,no
Cu49.4Zr41.99Ti7.41Sn0.6Si0.6,7.0,1141.0,682.0,"{'Cu49.4', 'Sn0.6', 'Zr41.99', 'Ti7.41', 'Si0.6'}",1.6901960800285136,no,no
Fe48Cr15Mo14C15B6Y2,7.0,1464.0,839.0,"{'B6', 'C15', 'Fe48', 'Cr15', 'Y2', 'Mo14'}",1.6901960800285136,no,no
Cu43Zr40Ag7Ti10,7.0,1095.0,656.0,"{'Zr40', 'Ti10', 'Ag7', 'Cu43'}",1.6901960800285136,no,no
Pd79Cu2Ag4Si10P5,7.0,1006.0,611.0,"{'Pd79', 'Si10', 'Ag4', 'P5', 'Cu2'}",1.6901960800285136,no,no
Mg65Cu15Ag10Gd10,7.5,686.0,416.0,"{'Mg65', 'Gd10', 'Cu15', 'Ag10'}",1.7501225267834002,no,no
La62.5Al12.5Ag5Cu17.5Co2.5,8.0,712.0,393.0,"{'Cu17.5', 'Co2.5', 'La62.5', 'Al12.5', 'Ag5'}",1.806179973983887,no,no
Ti40Zr25Ni8Cu9Be18,8.0,1009.0,621.0,"{'Zr25', 'Ti40', 'Ni8', 'Be18', 'Cu9'}",1.806179973983887,no,no
La62Al14Cu20Ag4,8.0,729.0,404.0,"{'La62', 'Cu20', 'Ag4', 'Al14'}",1.806179973983887,no,no
Fe56Mn5Cr7Mo12Er2C12B6,8.0,1401.0,793.0,"{'Er2', 'B6', 'Fe56', 'Mo12', 'C12', 'Cr7', 'Mn5'}",1.806179973983887,no,no
Cu45Zr45Ag3Al7,8.0,1177.0,708.0,"{'Zr45', 'Ag3', 'Al7', 'Cu45'}",1.806179973983887,no,no
Fe48Cr15Mo14Er2C15B6,8.0,1446.0,844.0,"{'Er2', 'B6', 'C15', 'Fe48', 'Cr15', 'Mo14'}",1.806179973983887,no,no
Mg65Cu15Ag10Y4Gd6,8.0,682.0,424.0,"{'Y4', 'Gd6', 'Cu15', 'Mg65', 'Ag10'}",1.806179973983887,no,no
Fe45Co3Cr15Mo14C15B6Y2,8.0,1446.0,834.0,"{'B6', 'Co3', 'C15', 'Cr15', 'Fe45', 'Y2', 'Mo14'}",1.806179973983887,no,no
Ca50Mg20Cu30,8.0,690.0,401.0,"{'Cu30', 'Ca50', 'Mg20'}",1.806179973983887,no,no
Cu43Zr43Al7Ag7,8.0,1125.0,710.0,"{'Zr43', 'Al7', 'Ag7', 'Cu43'}",1.806179973983887,no,no
Ca50Mg25Zn15Cu10,8.0,723.0,383.0,"{'Cu10', 'Ca50', 'Zn15', 'Mg25'}",1.806179973983887,no,no
Ca55Mg25Cu20,8.0,668.0,398.0,"{'Cu20', 'Ca55', 'Mg25'}",1.806179973983887,no,no
Mg58.5Cu30.5Gd11,8.0,753.0,427.0,"{'Mg58.5', 'Gd11', 'Cu30.5'}",1.806179973983887,no,no
Mg60.5Cu28.5Gd11,8.0,755.0,425.0,"{'Gd11', 'Cu28.5', 'Mg60.5'}",1.806179973983887,no,no
Cu49Zr36Ag10Ti5,8.0,1130.0,691.0,"{'Ti5', 'Cu49', 'Zr36', 'Ag10'}",1.806179973983887,no,no
Hf51Cu27.75Ni9.25Al12,8.0,1344.0,777.0,"{'Ni9.25', 'Hf51', 'Cu27.75', 'Al12'}",1.806179973983887,no,no
Zr48Nb8Cu12Fe8Be24,8.0,1071.0,658.0,"{'Fe8', 'Cu12', 'Be24', 'Nb8', 'Zr48'}",1.806179973983887,no,no
Zr48Nb8Cu14Ni12Be18,8.0,1072.0,656.0,"{'Ni12', 'Be18', 'Nb8', 'Zr48', 'Cu14'}",1.806179973983887,no,no
La62.5Al12.5Ag5Cu15Co5,9.0,700.0,397.0,"{'Cu15', 'La62.5', 'Al12.5', 'Ag5', 'Co5'}",1.9084850188786497,no,no
Cu45Zr45Ag5Al5,9.0,1147.0,697.0,"{'Ag5', 'Zr45', 'Cu45', 'Al5'}",1.9084850188786497,no,no
Mg65Cu15Ag10Y2Gd8,9.0,683.0,420.0,"{'Cu15', 'Gd8', 'Mg65', 'Y2', 'Ag10'}",1.9084850188786497,no,no
Mg58.5Cu30.5Y11,9.0,762.0,422.0,"{'Y11', 'Mg58.5', 'Cu30.5'}",1.9084850188786497,no,no
Fe43Co5Cr15Mo14C15B6Y2,9.0,1442.0,835.0,"{'B6', 'Fe43', 'C15', 'Cr15', 'Y2', 'Co5', 'Mo14'}",1.9084850188786497,no,no
Mg62.5Cu26.5Gd11,9.0,748.0,427.0,"{'Gd11', 'Mg62.5', 'Cu26.5'}",1.9084850188786497,no,no
Ca50Mg25Cu25,9.0,655.0,400.0,"{'Cu25', 'Ca50', 'Mg25'}",1.9084850188786497,no,no
Mg65Cu7.5Ni7.5Ag5Zn5Gd2.5Y7.5,9.5,735.0,433.0,"{'Zn5', 'Mg65', 'Y7.5', 'Gd2.5', 'Ag5', 'Ni7.5', 'Cu7.5'}",1.9554472105776954,no,no
Zr48Cu37Al7Ag8,10.0,1125.0,698.0,"{'Cu37', 'Al7', 'Ag8', 'Zr48'}",2.0,no,no
Mg65Cu15Ag5Pd5Gd10,10.0,748.0,430.0,"{'Cu15', 'Mg65', 'Ag5', 'Pd5', 'Gd10'}",2.0,no,no
Mg57Cu31.5Y9.2Nd2.3,10.0,777.0,428.0,"{'Nd2.3', 'Cu31.5', 'Mg57', 'Y9.2'}",2.0,no,no
Ca60Mg17.5Zn22.5,10.0,650.0,383.0,"{'Ca60', 'Zn22.5', 'Mg17.5'}",2.0,no,no
La32Ce32Al16Ni5Cu7Co8,10.0,739.0,416.0,"{'Cu7', 'Ce32', 'La32', 'Al16', 'Ni5', 'Co8'}",2.0,no,no
La32Ce32Al16Ni5Cu5Co10,10.0,767.0,424.0,"{'Cu5', 'Ce32', 'La32', 'Al16', 'Ni5', 'Co10'}",2.0,no,no
Ca62.5Mg17.5Zn20,10.0,640.0,375.0,"{'Ca62.5', 'Zn20', 'Mg17.5'}",2.0,no,no
Co48Cr15Mo14C15B6Er2,10.0,1394.0,848.0,"{'Er2', 'B6', 'Co48', 'C15', 'Cr15', 'Mo14'}",2.0,no,no
La32Ce32Al16Ni5Cu15,10.0,712.0,403.0,"{'Cu15', 'Ce32', 'La32', 'Al16', 'Ni5'}",2.0,no,no
La32Ce32Al16Ni5Cu12Co3,10.0,709.0,406.0,"{'Co3', 'Cu12', 'Ce32', 'La32', 'Al16', 'Ni5'}",2.0,no,no
Cu46Zr42Al7Y5,10.0,1113.0,672.0,"{'Zr42', 'Cu46', 'Al7', 'Y5'}",2.0,no,no
Zr48Cu40Al7Ag5,10.0,1121.0,699.0,"{'Ag5', 'Al7', 'Cu40', 'Zr48'}",2.0,no,no
Cu44Zr44Ag6Al6,10.0,1144.0,698.0,"{'Zr44', 'Cu44', 'Ag6', 'Al6'}",2.0,yes,no
Ca50Mg22.5Cu27.5,10.0,663.0,400.0,"{'Ca50', 'Mg22.5', 'Cu27.5'}",2.0,no,no
Ca50Mg15Zn10Cu25,10.0,678.0,395.0,"{'Cu25', 'Ca50', 'Zn10', 'Mg15'}",2.0,no,no
Hf48Cu29.25Ni9.75Al13,10.0,1280.0,785.0,"{'Al13', 'Hf48', 'Cu29.25', 'Ni9.75'}",2.0,no,no
Ca50Mg20Zn5Cu25,10.0,654.0,399.0,"{'Cu25', 'Ca50', 'Zn5', 'Mg20'}",2.0,no,no
Fe39Co9Cr15Mo14C15B6Y2,10.0,1466.0,838.0,"{'B6', 'C15', 'Co9', 'Cr15', 'Y2', 'Fe39', 'Mo14'}",2.0,no,no
Zr48Cu42Al7Ag3,10.0,1135.0,700.0,"{'Cu42', 'Al7', 'Zr48', 'Ag3'}",2.0,yes,yes
Hf47Cu29.25Ni9.75Al14,10.0,1278.0,790.0,"{'Ni9.75', 'Hf47', 'Cu29.25', 'Al14'}",2.0,no,no
Cu49Hf42Al9,10.0,1249.0,778.0,"{'Hf42', 'Cu49', 'Al9'}",2.0,no,no
Mg65Cu7.5Ni7.5Ag5Zn5Gd10,11.0,726.0,440.0,"{'Zn5', 'Mg65', 'Ag5', 'Ni7.5', 'Cu7.5', 'Gd10'}",2.08278537031645,no,no
Mg61Cu28Gd11,12.0,737.0,422.0,"{'Mg61', 'Gd11', 'Cu28'}",2.1583624920952498,no,no
La32Ce32Al16Ni5Cu10Co5,12.0,718.0,413.0,"{'Cu10', 'Ce32', 'La32', 'Al16', 'Co5', 'Ni5'}",2.1583624920952498,no,no
La62Cu12Ni12Al14,12.0,744.0,423.0,"{'La62', 'Ni12', 'Cu12', 'Al14'}",2.1583624920952498,no,no
Mg57Cu31.5Y8Nd3.5,12.0,778.0,426.0,"{'Cu31.5', 'Mg57', 'Y8', 'Nd3.5'}",2.1583624920952498,no,no
Cu42Zr42Ag8Al8,12.0,1213.0,705.0,"{'Zr42', 'Cu42', 'Ag8', 'Al8'}",2.1583624920952498,no,no
Cu43Zr43Al7Be7,12.0,1126.0,710.0,"{'Zr43', 'Be7', 'Al7', 'Cu43'}",2.1583624920952498,no,no
Zr48Cu43Al7Ag2,12.0,1152.0,700.0,"{'Ag2', 'Al7', 'Zr48', 'Cu43'}",2.1583624920952498,no,no
Mg65Cu7.5Ni7.5Ag5Zn5Gd7.5Y2.5,13.0,719.0,438.0,"{'Y2.5', 'Zn5', 'Gd7.5', 'Mg65', 'Ag5', 'Ni7.5', 'Cu7.5'}",2.2278867046136734,no,no
Mg57Cu31Y6.6Nd5.4,14.0,778.0,427.0,"{'Nd5.4', 'Mg57', 'Cu31', 'Y6.6'}",2.292256071356476,no,no
Mg65Cu7.5Ni7.5Ag5Zn5Gd5Y5,14.0,718.0,434.0,"{'Y5', 'Zn5', 'Mg65', 'Gd5', 'Ag5', 'Ni7.5', 'Cu7.5'}",2.292256071356476,no,no
Cu40Zr44Ag8Al8,15.0,1176.0,693.0,"{'Zr44', 'Al8', 'Ag8', 'Cu40'}",2.3521825181113627,no,no
Cu34Zr50Ag8Al8,15.0,1148.0,680.0,"{'Cu34', 'Al8', 'Ag8', 'Zr50'}",2.3521825181113627,no,no
Fe41Co7Cr15Mo14C15B6Y2,16.0,1436.0,838.0,"{'B6', 'C15', 'Fe41', 'Co7', 'Cr15', 'Y2', 'Mo14'}",2.4082399653118496,no,no
Cu38Zr46Ag8Al8,20.0,1145.0,692.0,"{'Cu38', 'Ag8', 'Al8', 'Zr46'}",2.6020599913279625,no,no
Zr48Cu36Ag8Al8,25.0,1143.0,690.0,"{'Al8', 'Ag8', 'Cu36', 'Zr48'}",2.7958800173440754,no,no
Y36Sc20Al24Co20,25.0,1034.0,645.0,"{'Sc20', 'Y36', 'Al24', 'Co20'}",2.7958800173440754,no,no
Y36Sc20Al24Co10Ni10,25.0,1010.0,645.0,"{'Al24', 'Sc20', 'Y36', 'Ni10', 'Co10'}",2.7958800173440754,no,no
Zr48Cu34Pd2Ag8Al8,30.0,1140.0,699.0,"{'Al8', 'Ag8', 'Cu34', 'Pd2', 'Zr48'}",2.9542425094393248,yes,no
